case_id,fir_number,filed_date,modus_operandi,weapon_type,status,narrative_kn,narrative_en,location_id,sensitivity_level
KA-2024-00028,FIR/2024/6974,2024-07-16,cyber fraud via fake job offer,knife,pending forensic report,"Mangaluru ಪ್ರದೇಶದಲ್ಲಿ ನಕಲಿ ಉದ್ಯೋಗ ನೀಡಿಕೆ ಮೂಲಕ ಸೈಬರ್ ವಂಚನೆ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 23:30. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.",Complainant reported a cyber fraud via fake job offer at approximately 23:30 in Mangaluru. A knife was reportedly involved. Case status: pending forensic report.,LOC-dcf6fdc2,standard
KA-2024-00029,FIR/2024/3900,2024-08-28,residential break-in via forced door lock,blunt object,pending forensic report,Kalaburagi ನಲ್ಲಿ 02:09 ಸಮಯದಲ್ಲಿ ಬಾಗಿಲಿನ ಬೀಗ ಮುರಿದು ಮನೆ ಕಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.,Complainant reported a residential break-in via forced door lock at approximately 02:09 in Kalaburagi. A blunt object was reportedly involved. Case status: pending forensic report.,LOC-72cf862a,standard
KA-2024-00030,FIR/2024/1634,2024-09-04,ATM tampering attempt,knife,closed,"Mangaluru ಪ್ರದೇಶದಲ್ಲಿ ಎಟಿಎಂ ಕುತಂತ್ರ ಪ್ರಯತ್ನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 07:19. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಪ್ರಕರಣ ಮುಕ್ತಾಯ.",Complainant reported a ATM tampering attempt at approximately 07:19 in Mangaluru. A knife was reportedly involved. Case status: closed.,LOC-97a56ecd,standard
KA-2024-00031,FIR/2024/6378,2024-02-06,chain snatching using two-wheeler,knife,chargesheet filed,"Belagavi ಪ್ರದೇಶದಲ್ಲಿ ದ್ವಿಚಕ್ರ ವಾಹನ ಬಳಸಿ ಸರಗಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 18:16. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.",Complainant reported a chain snatching using two-wheeler at approximately 18:16 in Belagavi. A knife was reportedly involved. Case status: chargesheet filed.,LOC-e167733d,standard
KA-2024-00032,FIR/2024/5349,2024-06-28,cyber fraud via phishing call,blunt object,under investigation,Hubballi-Dharwad ನಲ್ಲಿ 04:15 ಸಮಯದಲ್ಲಿ ಫಿಶಿಂಗ್ ಕರೆ ಮೂಲಕ ಸೈಬರ್ ವಂಚನೆ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ತನಿಖೆ ಹಂತದಲ್ಲಿ.,A case of cyber fraud via phishing call was registered in Hubballi-Dharwad. Incident occurred around 04:15. A blunt object was reportedly involved. Current status: under investigation.,LOC-fcc578a4,restricted
KA-2026-00033,FIR/2026/1727,2026-06-14,ATM tampering attempt,none,pending forensic report,"Ballari ಪ್ರದೇಶದಲ್ಲಿ ಎಟಿಎಂ ಕುತಂತ್ರ ಪ್ರಯತ್ನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 16:45. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.",Complainant reported a ATM tampering attempt at approximately 16:45 in Ballari. No weapon was involved. Case status: pending forensic report.,LOC-e1b15159,standard
KA-2024-00034,FIR/2024/3041,2024-04-18,chain snatching on foot near market,blunt object,pending forensic report,"Shivamogga ಪ್ರದೇಶದಲ್ಲಿ ಮಾರುಕಟ್ಟೆ ಬಳಿ ನಡೆದುಕೊಂಡು ಸರಗಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 16:48. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.",A case of chain snatching on foot near market was registered in Shivamogga. Incident occurred around 16:48. A blunt object was reportedly involved. Current status: pending forensic report.,LOC-c21c2fe1,standard
KA-2024-00035,FIR/2024/3851,2024-10-25,ATM tampering attempt,blunt object,chargesheet filed,"Shivamogga ಪ್ರದೇಶದಲ್ಲಿ ಎಟಿಎಂ ಕುತಂತ್ರ ಪ್ರಯತ್ನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 00:19. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.",A case of ATM tampering attempt was registered in Shivamogga. Incident occurred around 00:19. A blunt object was reportedly involved. Current status: chargesheet filed.,LOC-c21c2fe1,standard
KA-2026-00036,FIR/2026/8238,2026-06-19,chain snatching using two-wheeler,knife,pending forensic report,"Ballari ಪ್ರದೇಶದಲ್ಲಿ ದ್ವಿಚಕ್ರ ವಾಹನ ಬಳಸಿ ಸರಗಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 23:23. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.",A case of chain snatching using two-wheeler was registered in Ballari. Incident occurred around 23:23. A knife was reportedly involved. Current status: pending forensic report.,LOC-d4a508e1,standard
KA-2026-00037,FIR/2026/4848,2026-03-11,two-wheeler theft from parking area,none,closed,Shivamogga ನಲ್ಲಿ 17:26 ಸಮಯದಲ್ಲಿ ಪಾರ್ಕಿಂಗ್ ಪ್ರದೇಶದಿಂದ ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ಪ್ರಕರಣ ಮುಕ್ತಾಯ.,A case of two-wheeler theft from parking area was registered in Shivamogga. Incident occurred around 17:26. No weapon was involved. Current status: closed.,LOC-c5bc5f46,standard
KA-2025-00038,FIR/2025/9099,2025-10-05,pickpocketing in crowded transit area,none,pending forensic report,"Belagavi ಪ್ರದೇಶದಲ್ಲಿ ಜನನಿಬಿಡ ಸ್ಥಳದಲ್ಲಿ ಜೇಬುಗಳ್ಳತನ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 19:28. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.",Complainant reported a pickpocketing in crowded transit area at approximately 19:28 in Belagavi. No weapon was involved. Case status: pending forensic report.,LOC-47cf4138,standard
KA-2024-00039,FIR/2024/5082,2024-09-30,residential break-in via forced door lock,none (cyber/no physical weapon),chargesheet filed,Bengaluru Urban ನಲ್ಲಿ 05:31 ಸಮಯದಲ್ಲಿ ಬಾಗಿಲಿನ ಬೀಗ ಮುರಿದು ಮನೆ ಕಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.,A case of residential break-in via forced door lock was registered in Bengaluru Urban. Incident occurred around 05:31. No weapon was involved. Current status: chargesheet filed.,LOC-f22e7bd7,standard
KA-2026-00040,FIR/2026/3607,2026-02-23,cyber fraud via phishing call,blunt object,pending forensic report,"Tumakuru ಪ್ರದೇಶದಲ್ಲಿ ಫಿಶಿಂಗ್ ಕರೆ ಮೂಲಕ ಸೈಬರ್ ವಂಚನೆ ಘಟನೆ ವರದಿಯಾಗಿದ್ದು, ಸಮಯ ಸುಮಾರು 03:29. ಪ್ರಸ್ತುತ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.",A case of cyber fraud via phishing call was registered in Tumakuru. Incident occurred around 03:29. A blunt object was reportedly involved. Current status: pending forensic report.,LOC-fac8511a,standard
KA-2025-00041,FIR/2025/5681,2025-03-02,chain snatching using two-wheeler,none (cyber/no physical weapon),chargesheet filed,Tumakuru ನಲ್ಲಿ 13:44 ಸಮಯದಲ್ಲಿ ದ್ವಿಚಕ್ರ ವಾಹನ ಬಳಸಿ ಸರಗಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ಆರೋಪಪಟ್ಟಿ ಸಲ್ಲಿಕೆಯಾಗಿದೆ.,A case of chain snatching using two-wheeler was registered in Tumakuru. Incident occurred around 13:44. No weapon was involved. Current status: chargesheet filed.,LOC-659c63f0,standard
KA-2024-00042,FIR/2024/7797,2024-08-25,two-wheeler theft from parking area,knife,pending forensic report,Kalaburagi ನಲ್ಲಿ 08:59 ಸಮಯದಲ್ಲಿ ಪಾರ್ಕಿಂಗ್ ಪ್ರದೇಶದಿಂದ ದ್ವಿಚಕ್ರ ವಾಹನ ಕಳ್ಳತನ ಪ್ರಕರಣ ವರದಿಯಾಗಿದೆ. ಪ್ರಕರಣದ ಸ್ಥಿತಿ: ವಿಧಿವಿಜ್ಞಾನ ವರದಿ ಬಾಕಿ.,Complainant reported a two-wheeler theft from parking area at approximately 08:59 in Kalaburagi. A knife was reportedly involved. Case status: pending forensic report.,LOC-155f4b8b,standard
